0,2
1,1
2,0
3,2
4,1
5,1
6,2
7,2
8,0
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,1
18,2
19,2
20,2
21,0
22,1
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,0
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,1
45,2
46,2
47,2
48,0
49,1
50,2
51,2
52,2
53,2
54,1
55,2
56,1
57,1
58,2
59,1
60,2
61,1
62,2
63,2
64,1
65,2
66,2
67,1
68,2
69,2
70,2
71,0
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,1
89,1
90,2
91,2
92,2
93,2
94,0
95,2
96,1
97,1
98,2
99,1
100,2
101,2
102,2
103,0
104,0
105,0
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,1
119,2
120,2
121,2
122,1
123,2
124,2
125,2
126,2
127,2
128,1
129,2
130,1
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,1
