0,1
1,2
2,0
3,0
4,0
5,0
6,0
7,2
8,0
9,1
10,0
11,1
12,2
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,2
24,0
25,1
26,0
27,1
28,2
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,2
41,1
42,0
43,0
44,2
45,1
46,1
47,0
48,0
49,2
50,0
51,1
52,1
53,2
54,1
55,2
56,0
57,0
58,1
59,0
60,0
61,0
62,1
63,0
64,2
65,0
66,0
67,0
68,1
69,0
70,1
71,0
72,1
73,0
74,0
75,0
76,2
77,1
78,0
79,0
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,1
90,1
91,1
92,0
93,1
94,1
95,0
96,0
97,2
98,1
99,0
100,1
101,0
102,2
103,0
104,1
105,2
106,0
107,0
108,0
109,0
110,2
111,0
112,0
113,2
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,2
128,1
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,0
139,0
140,1
141,1
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,2
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,1
163,1
164,0
165,0
166,0
167,0
168,2
169,2
170,1
171,2
172,2
173,1
174,2
175,0
176,2
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,2
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,2
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,1
213,2
214,0
215,0
216,2
217,1
218,1
219,0
220,1
221,0
222,0
223,0
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,2
233,0
234,2
235,1
236,1
237,0
238,1
239,0
240,1
241,1
242,1
243,2
244,2
245,2
246,0
