0,He who exalts himself shall      be humbled; and he who humbles himself shall be exalted.Matt 23:12.     #SemST
1,"RT @prayerbullets: I remove Nehushtan -previous moves of God that have become idols, from the high places -2 Kings 18:4 #SemST"
2,@Brainman365 @heidtjj @BenjaminLives I have sought the truth of my soul and found it strong enough to stand on its own merits. #SemST
3,#God is utterly powerless without Human intervention... #SemST
4,@David_Cameron   Miracles of #Multiculturalism   Miracles of shady 786  #Taqiya #Tawriya #Jaziya #Kafirs #Dhimmi #Jihad #Allah #SemST
5,This world needs a tight group hug. Tight enough to relieve them from all this anger and hate. #MakePeaceWithEachOther #SemST
6,"Morality is not derived from religion, it precedes it. -Christopher 'The Hitch' Hitchens #freethinkers #SemST"
7,A Godly husband  - knows you - trusts you - loves you - respects you - honors you - supports you - wants you - appreciates you #God #SemST
8,@SecularDutchess I'll be your huckleberry @DeanModified #SemST
9,#BIBLE = Big Irrelevant Book of Lies and Exaggerations ~ #Judaism #God #TeamJesus #Islam ~ #Truth & #Freedom = #SemST
10,"If only dreams were real, now it's gone. #SingleBecause #getonyourfeet #SemST"
11,Happy Independence Day to America and her beautiful constitution #IndependenceDay #USA #SemST
12,Let my house be built by wisdom and become strong through good sense -Prov. 24:3 #SemST
13,"These days, the cool kids are atheists.  #freethinker #SemST"
14,"Next time you hear someone say that our Founding Fathers intended a ""Christian Nation,"" show 'em those quotes. #SemST"
15,#ILoveIslamBecause and v should love Islam because its a Deen instead of just a #SemST
16,"Be a sinner and sin strongly, but more strongly have faith and rejoice in Christ. ~ Martin Luther #SemST"
17,#God > My fears God > My insecurities God > My worry God > My everything #SemST
18,"Mary, Queen of martyrs, pray for us. #Catholic #SemST"
19,"America, like all of us, has both beauty and brutality coursing through its blood. #4thofjuly #spirituality #SemST"
20,"Every life is a profession of faith, and exercises an inevitable and silent influence. ~Henri Frederic Amiel #SemST"
21,I am Baloch and I will not allow Talibanization in Balochistan ... #Taliban #Extremism #SemST
22,He became a slave to the cross that men could go free! #SemST
23,Exo.20.13-15 - ...Do not commit murder...DO NOT COMMIT ADULTERY...Do not steal. #SemST
24,"Phew! Am glad we came to our senses and worship a 2,000 year old carpenter. - Bart Simpson #jokes #SemST"
25,"Exo.28.12 - ...So that I, the Lord, will always remember... #SemST"
26,"#JaganNathAzad, a #Hindu, was asked by founder of #Pakistan to write the first National Anthem. #SemST"
27,"Father, grant us grace to remain holy and a vessel of honour in ur house. #OpenHeaven #NatiVarietySunday #SundayMorningShow #SemST"
28,"Who cares if this person or that person is xtian or atheist. Polpott, hitler or mao.   God still does not exist.   #SemST"
29,I still remember the days when I prayed God for strength.. then suddenly God gave me difficulties to make me strong. Thank you God! #SemST
30,You'll never know how much God can do in your life until you ask.  #lifechangingJourneywithJesus #SemST
31,Jesus response to a religious environment  was to create a royal environment.  It drove people nuts. Still does - thank God #SemST
32,Sanctify them through Thy Truth: Thy Word is Truth   John 17:17 KJV  #SemST
33,"Psalm 86:17 Is. 7:14 God will give you a sign. ""Father, within the next 3 days, show me a sign; a token. #SemST"
34,The Best #conspiracy of the world is #Religion. #science #davincisdemons #SemST
35,American conservatism has everything to do with religion with all the good stuff taking out of it. #SemST
36,The #humanist church is the new cloth. #kissTheRing #tcot #SemST
37,"You stay the same through the ages, Your love never changes...Your love never fails. #SemST"
38,Just know that you're not an accident and that you're here by HIS divine providence.  #tcot #pjnet #ccot #christian #SemST
39,"I am addicted to your light.  Everywhere I look you are there. I can feel your Halo, I pray you won't fade away.   #SemST"
40,FAITH sees beyond the difficulties and counts on God.  -Colon Smith #SemST
41,Watch @Dame_Lillard bring the Blazers to the playoff #Beast #SemST
42,The Irish national school system is secular under law. We can reaffirm secularism by going through the courts! @HumanismIreland #SemST
43,We often talk of unbelief as if it were an affliction to be pitied instead of a crime to be condemned. - Charles Spurgeon #GOD #SemST
44,"@dsurman  Jesus is favor of all, that they would believe He died for them. Why try to wage a conflict you will lose? #God #SemST"
45,Currently doing a piece on logical fallacies for my blog @weebly #philosophy #logicism #blog #humanist #SemST
46,"Proud to be #TeamJinnah :) No Bhutto, no Imran's , only Jinnah's Pakistan :) #Inclusive #SemST"
47,Great baptism service at #woodgreen very moving stories of people's faith in #rich_lacey #SemST
48,Religious holidays should not be public. #RightsAndRecourse #Transformation #SemST
49,I officiate #humanist & most #nonreligious weddings-starting at $99. Ask me about #student discounts! #216 #celebrant #weddings #SemST
50,RT @br_holden: Religions are perfectly happy to peddle an afterlife that doesn't actually exist.  #freethinker #SemST
51,RT @br_holden: Superstition-based thoughts tend to be wasted thoughts.  #freethinker #SemST
52,RT @br_holden: Just say no to superstitious thought in general and religions in particular.  #freethinker #SemST
53,RT @br_holden: Atheists have every right to exist in the public sphere.   #freethinker #SemST
54,"RT @GMHumanistChoir: We're currently looking for new members to join our choir, all welcome, no auditions. #87RT #choir #Manchest... #SemST"
55,@Rowdman53 Atheist are offended with Christian Symbols  + Only when when forced where they don't belong. #SemST
56,"Pushing beyond the absurd The light in darkened minds Railing against ancient words Seeking, honest, open it is truth we find. #SemST"
57,Your word has given me life -Ps. 119:49-50 #SemST
58,God gives us the right to do what we want; as long as we understand the outcomes of our actions. #spiritual #SemST
59,The deeper I go with in- The deeper~> the silence- the peace- the healing- the clarity- the vision- the belief- The deeper my  #SemST
60,RT @faithsns716: Psalm103:3-Who forgives all your iniquities; who heals all your diseases #SemST
61,"James 1:14 (#KJV) But every man is TEMPTED, when he is drawn away of his own LUST, and enticed.  #God #Lord #Christ #Holy #Spirit #SemST"
62,"We are human. It is human nature to eat and drink ourselves destitute, fuck each other raw, and kill each other. #SemST"
63,"RT @ACatholicPrayer: Holy Trinity, one God, Have #mercy on us. #Catholic #SemST"
64,@LadyLydiaD When you become a Father you realize that you are not the most important person in the room anymore.... Your child is. #SemST
